RANK,PLAYER,TEAM,AGE,GP,MIN,PTS,FG%,3P%,FT%,REB,AST,STL,BLK
1,Carmelo Anthony,NYK,29,67,37.0,28.7,44.9,37.9,83.0,6.9,2.6,0.8,0.5
2,Kevin Durant,OKC,24,81,38.5,28.1,51.0,41.6,90.5,7.9,4.6,1.4,1.3
3,Kobe Bryant,LAL,34,78,38.6,27.3,46.3,32.4,83.9,5.6,6.0,1.4,0.3
4,LeBron James,MIA,28,76,37.9,26.8,56.5,40.6,75.3,8.0,7.3,1.7,0.9
5,James Harden,HOU,23,78,38.3,25.9,43.8,36.8,85.1,4.9,5.8,1.8,0.5
6,Russell Westbrook,OKC,24,82,34.9,23.2,43.8,32.3,80.0,5.2,7.4,1.8,0.3
7,Stephen Curry,GSW,25,78,38.2,22.9,45.1,45.3,90.0,4.0,6.9,1.6,0.2
8,Kyrie Irving,CLE,21,59,34.7,22.5,45.2,39.1,85.5,3.7,5.9,1.5,0.4
9,Dwyane Wade,MIA,31,69,34.6,21.2,52.1,25.8,72.5,5.0,5.1,1.9,0.8
10,LaMarcus Aldridge,POR,27,74,37.7,21.1,48.4,14.3,81.0,9.1,2.6,0.8,1.2
11,Tony Parker,SAS,31,66,32.9,20.3,52.2,35.3,84.5,3.0,7.6,0.8,0.1
12,Brook Lopez,BKN,25,74,30.5,19.4,52.1,0.0,75.8,6.9,0.9,0.4,2.1
13,Monta Ellis,MIL,27,82,37.5,19.2,41.6,28.7,77.3,3.9,6.0,2.1,0.4
14,Damian Lillard,POR,22,82,38.6,19.0,42.9,36.8,84.4,3.1,6.5,0.9,0.2
15,Deron Williams,BKN,29,78,36.4,18.9,44.0,37.8,85.9,3.0,7.7,1.0,0.4
16,Paul Pierce,BOS,35,77,33.4,18.6,43.6,38.0,78.7,6.3,4.8,1.1,0.4
17,John Wall,WAS,22,49,32.7,18.5,44.1,26.7,80.4,4.0,7.6,1.3,0.8
18,David Lee,GSW,30,79,36.8,18.5,51.9,0.0,79.7,11.2,3.5,0.8,0.3
19,Kevin Love,MIN,24,18,34.3,18.3,35.2,21.7,70.4,14.0,2.3,0.7,0.5
20,Rudy Gay,TOR,26,75,35.8,18.2,41.6,32.3,81.4,6.1,2.7,1.5,0.7
21,DeMar DeRozan,TOR,23,82,36.7,18.1,44.5,28.3,83.1,3.9,2.5,0.9,0.3
22,JR Smith,NYK,27,80,33.5,18.1,42.2,35.6,76.2,5.3,2.7,1.3,0.3
23,Blake Griffin,LAC,24,80,32.5,18.0,53.8,17.9,66.0,8.3,3.7,1.2,0.6
24,Al Jefferson,UTA,28,78,33.1,17.8,49.4,11.8,77.0,9.2,2.1,1.0,1.1
25,Tim Duncan,SAS,37,69,30.1,17.8,50.2,28.6,81.7,9.9,2.7,0.7,2.7
26,Kemba Walker,CHA,23,82,34.9,17.7,42.3,32.2,79.8,3.5,5.7,2.0,0.4
27,Jrue Holiday,PHI,23,78,37.5,17.7,43.1,36.8,75.2,4.2,8.0,1.6,0.4
28,Brandon Jennings,MIL,23,80,36.2,17.5,39.9,37.5,81.9,3.1,6.5,1.6,0.1
29,Josh Smith,ATL,27,76,35.3,17.5,46.5,30.3,51.7,8.4,4.2,1.2,1.8
30,Paul George,IND,23,79,37.6,17.4,41.9,36.2,80.7,7.6,4.1,1.8,0.6
31,Al Horford,ATL,27,74,37.2,17.4,54.3,50.0,64.4,10.2,3.2,1.1,1.1
32,Dirk Nowitzki,DAL,35,53,31.3,17.3,47.1,41.4,86.0,6.8,2.5,0.7,0.7
33,David West,IND,32,73,33.4,17.1,49.8,21.1,76.8,7.7,2.9,1.0,0.9
34,DeMarcus Cousins,SAC,22,75,30.5,17.1,46.5,18.2,73.8,9.9,2.7,1.4,0.7
35,Dwight Howard,LAL,27,76,35.8,17.1,57.8,16.7,49.2,12.4,1.4,1.1,2.4
36,Eric Gordon,NOH,24,42,30.1,17.0,40.2,32.4,84.2,1.8,3.3,1.1,0.2
37,Chris Paul,LAC,28,70,33.4,16.9,48.1,32.8,88.5,3.7,9.7,2.4,0.1
38,Ty Lawson,DEN,25,73,34.4,16.7,46.1,36.6,75.6,2.7,6.9,1.5,0.1
39,Chris Bosh,MIA,29,74,33.2,16.6,53.5,28.4,79.8,6.8,1.7,0.9,1.4
40,Klay Thompson,GSW,23,82,35.8,16.6,42.2,40.1,84.1,3.7,2.2,1.0,0.5
41,Arron Afflalo,ORL,27,64,36.0,16.5,43.9,30.0,85.7,3.7,3.2,0.6,0.2
42,Jamal Crawford,LAC,33,76,29.3,16.5,43.8,37.6,87.1,1.7,2.5,1.0,0.2
43,Luol Deng,CHI,28,75,38.7,16.5,42.6,32.2,81.6,6.3,3.0,1.1,0.4
44,Nikola Pekovic,MIN,27,62,31.6,16.3,52.0,0.0,74.4,8.8,0.9,0.7,0.8
45,Joe Johnson,BKN,32,72,36.7,16.3,42.3,37.5,82.0,3.0,3.5,0.7,0.2
46,Carlos Boozer,CHI,31,79,32.2,16.2,47.7,0.0,73.1,9.8,2.3,0.8,0.4
47,Danilo Gallinari,DEN,24,71,32.5,16.2,41.8,37.3,82.2,5.2,2.5,0.9,0.5
48,Ryan Anderson,NOH,25,81,30.9,16.2,42.3,38.2,84.4,6.4,1.2,0.5,0.4
49,Greg Monroe,DET,23,81,33.2,16.0,48.6,0.0,68.9,9.6,3.5,1.3,0.7
50,Gerald Henderson,CHA,25,68,31.4,15.5,44.7,33.0,82.4,3.7,2.6,1.0,0.5
