RANK,PLAYER,TEAM,AGE,GP,MIN,PTS,3P%,FT%,REB,AST,STL,BLK
1,Joel Embiid,PHI,29,66,34.6,33.1,33.0,85.7,10.2,4.2,1.0,1.7
2,Luka Doncic,DAL,24,66,36.2,32.4,34.2,74.2,8.6,8.0,1.4,0.5
3,Damian Lillard,POR,32,58,36.3,32.2,37.1,91.4,4.8,7.3,0.9,0.3
4,Shai Gilgeous-Alexander,OKC,24,68,35.5,31.4,34.5,90.5,4.8,5.5,1.6,1.0
5,Giannis Antetokounmpo,MIL,28,63,32.1,31.1,27.5,64.5,11.8,5.7,0.8,0.8
6,Jayson Tatum,BOS,25,74,36.9,30.1,35.0,85.4,8.8,4.6,1.1,0.7
7,Stephen Curry,GSW,35,56,34.7,29.4,42.7,91.5,6.1,6.3,0.9,0.4
8,Kevin Durant,PHX,34,47,35.6,29.1,40.4,91.9,6.7,5.0,0.7,1.4
9,LeBron James,LAL,38,55,35.5,28.9,32.1,76.8,8.3,6.8,0.9,0.6
10,Donovan Mitchell,CLE,26,68,35.8,28.3,38.6,86.7,4.3,4.4,1.5,0.4
11,Devin Booker,PHX,26,53,34.6,27.8,35.1,85.5,4.5,5.5,1.0,0.3
12,Kyrie Irving,DAL,31,60,37.3,27.1,37.9,90.5,5.1,5.5,1.1,0.8
13,Jaylen Brown,BOS,26,67,35.9,26.6,33.5,76.5,6.9,3.5,1.1,0.4
14,Trae Young,ATL,24,73,34.8,26.2,33.5,88.6,3.0,10.2,1.1,0.1
15,Ja Morant,MEM,23,61,31.9,26.2,30.7,74.8,5.9,8.1,1.1,0.3
16,Zion Williamson,NOP,22,29,33.0,26.0,36.8,71.4,7.0,4.6,1.1,0.6
17,Anthony Davis,LAL,30,56,34.0,25.9,25.7,78.4,12.5,2.6,1.1,2.0
18,Lauri Markkanen,UTA,26,66,34.4,25.6,39.2,87.5,8.6,1.9,0.6,0.6
19,Julius Randle,NYK,28,77,35.5,25.1,34.3,75.7,10.0,4.1,0.6,0.3
20,De'Aaron Fox,SAC,25,73,33.4,25.0,32.4,78.0,4.2,6.1,1.1,0.3
21,Zach LaVine,CHI,28,77,35.9,24.8,37.5,84.8,4.5,4.2,0.9,0.2
22,Brandon Ingram,NOP,25,45,34.2,24.7,39.0,88.2,5.5,5.8,0.7,0.4
23,Anthony Edwards,MIN,21,79,36.0,24.6,36.9,75.6,5.8,4.4,1.6,0.7
24,DeMar DeRozan,CHI,33,74,36.2,24.5,32.4,87.2,4.6,5.1,1.1,0.5
25,Nikola Jokic,DEN,28,69,33.7,24.5,38.3,82.2,11.8,9.8,1.3,0.7
26,Pascal Siakam,TOR,29,71,37.4,24.2,32.4,77.4,7.8,5.8,0.9,0.5
27,Jalen Brunson,NYK,26,68,35.0,24.0,41.6,82.9,3.5,6.2,0.9,0.2
28,Kawhi Leonard,LAC,32,52,33.6,23.8,41.6,87.1,6.5,3.9,1.4,0.5
29,Paul George,LAC,33,56,34.6,23.8,37.1,87.1,6.1,5.1,1.5,0.4
30,LaMelo Ball,CHA,21,36,35.2,23.3,37.6,84.3,6.4,8.4,1.3,0.3
31,Bradley Beal,WAS,30,50,33.5,23.2,36.5,84.2,3.9,5.4,0.9,0.7
32,Kristaps Porzingis,WAS,27,65,32.6,23.2,38.5,85.1,8.4,2.7,0.9,1.5
33,Jimmy Butler,MIA,33,64,33.4,22.9,35.0,85.0,5.9,5.3,1.8,0.3
34,Jalen Green,HOU,21,76,34.2,22.1,33.8,78.6,3.7,3.7,0.8,0.2
35,Keldon Johnson,SAS,23,63,32.8,22.0,32.9,74.9,5.0,2.9,0.7,0.2
36,Klay Thompson,GSW,33,69,33.0,21.9,41.2,87.9,4.1,2.4,0.7,0.4
37,Darius Garland,CLE,23,69,35.5,21.6,41.0,86.3,2.7,7.8,1.2,0.1
38,Bojan Bogdanovic,DET,34,59,32.1,21.6,41.1,88.4,3.8,2.6,0.6,0.1
39,Desmond Bane,MEM,25,58,31.7,21.5,40.8,88.3,5.0,4.4,1.0,0.4
40,Kyle Kuzma,WAS,27,64,35.0,21.2,33.3,73.0,7.2,3.7,0.6,0.5
41,Terry Rozier,CHA,29,63,35.3,21.1,32.7,80.9,4.1,5.1,1.2,0.3
42,Anfernee Simons,POR,24,62,35.0,21.1,37.7,89.4,2.6,4.1,0.7,0.2
43,James Harden,PHI,33,58,36.8,21.0,38.5,86.7,6.1,10.7,1.2,0.5
44,CJ McCollum,NOP,31,75,35.3,20.9,38.9,76.9,4.4,5.7,0.9,0.5
45,Jordan Clarkson,UTA,31,61,32.6,20.8,33.8,81.6,4.0,4.4,0.5,0.2
46,Karl-Anthony Towns,MIN,27,29,33.0,20.8,36.6,87.4,8.1,4.8,0.7,0.6
47,Tyrese Haliburton,IND,23,56,33.6,20.7,40.0,87.1,3.7,10.4,1.6,0.4
48,Jerami Grant,POR,29,63,35.6,20.5,40.1,81.3,4.5,2.4,0.8,0.8
49,Dejounte Murray,ATL,26,74,36.4,20.5,34.4,83.2,5.3,6.1,1.5,0.3
50,Jordan Poole,GSW,24,82,30.0,20.4,33.6,87.0,2.7,4.5,0.8,0.3
